"id","region_id","name","latitude","longitude","order_num","show_at_zoom","show_on_main_map","show_on_voyage_map"
"60209","60200","Garraway Roads","4.4969000000000001","-7.9330999999999996","60209","0","f","t"
"60408","60400","Anomabu","5.1666999999999996","-1.1167","60408","0","t","t"
"21004","21000","Oxford","38.700000000000003","-76.200000000000003","21004","0","t","t"
"36402","36400","Arcahaie","18.769439999999999","-72.512500000000003","36402","0","f","t"
"36403","36400","Cap Français","19.75","-72.203999999999994","36403","0","t","t"
"37099","37000","Danish West Indies, colony unspecified","18.02","-64.799999999999997","37099","0","f","t"
"60663","60600","Fernando Po","3.4900000000000002","8.6999999999999993","60663","0","f","t"
"10850","10800","Middelburg","51.5","3.6099999999999999","10850","0","t","t"
"36410","36400","Môle Saint Nicolas","19.800000000000001","-73.379999999999995","36410","0","f","t"
"41201","41200","New Spain","19.41","-99.159999999999997","41201","0","f","t"
"20199","20100","Rhode Island, port unspecified","41.490000000000002","-71.310000000000002","20199","0","f","t"
"50423","50400","Rio de Janeiro province","-23.02","-43.57","50423","0","f","t"
"50599","50500","Brazil, region unspecified","-16.550000000000001","-47.549999999999997","50599","0","f","t"
"50424","50400","Rio de Janeiro, Sao Paulo, Santa Catarina","-23.789999999999999","-45.990000000000002","50424","0","f","t"
"50102","50100","Maranhão","-2.516667","-44.266666999999998","50102","0","t","t"
"60129","60100","Azores","0","0","60129","0","f","t"
"60203","60200","Ben's Island","0","0","60203","0","f","t"
"60218","60200","Siraboom","0","0","60218","0","f","t"
"60303","60300","Batoa","0","0","60303","0","f","t"
"60304","60300","Bercou","0","0","60304","0","f","t"
"60305","60300","Cap des Palmes","0","0","60305","0","f","t"
"60312","60300","Petit Cess","0","0","60312","0","f","t"
"60313","60300","Dembia","0","0","60313","0","f","t"
"60325","60300","Rio Cavalie","0","0","60325","0","f","t"
"60326","60300","Rio Sinou","0","0","60326","0","f","t"
"60407","60400","Anomabu and Apam","0","0","60407","0","f","t"
"60413","60400","Chama","0","0","60413","0","f","t"
"60416","60400","Eva","0","0","60416","0","f","t"
"60418","60400","Lagoo","0","0","60418","0","f","t"
"60419","60400","Mouree","5.1632800000000003","-1.15828","60419","0","t","t"
"60420","60400","Ningo","0","0","60420","0","f","t"
"60421","60400","Rio Volta","0","0","60421","0","f","t"
"60422","60400","Sekondi","0","0","60422","0","f","t"
"60423","60400","Siekere","0","0","60423","0","f","t"
"60424","60400","Tantumquerry","0","0","60424","0","f","t"
