voyageid,adpsale1,adpsale2,adult1,adult2,adult3,adult4,adult5,adult6,arrport,arrport2,boy1,boy2,boy3,boy4,boy5,boy6,captaina,captainb,captainc,child1,child2,child3,child4,child5,child6,constreg,crew,crew1,crew2,crew3,crew4,crew5,crewdied,datedepa,datedepb,datedepc,d1slatra,d1slatrb,d1slatrc,dlslatra,dlslatrb,dlslatrc,ddepam,ddepamb,ddepamc,datarr32,datarr33,datarr34,datarr36,datarr37,datarr38,datarr39,datarr40,datarr41,datarr43,datarr44,datarr45,embport,embport2,embreg,embreg2,fate,female1,female2,female3,female4,female5,female6,girl1,girl2,girl3,girl4,girl5,girl6,guns,infant1,infant3,infant4,jamcaspr,majbuypt,majselpt,male1,male2,male3,male4,male5,male6,men1,men2,men3,men4,men5,men6,national,ncar13,ncar15,ncar17,ndesert,npafttra,nppretra,npprior,ownera,ownerb,ownerc,ownerd,ownere,ownerf,ownerg,ownerh,owneri,ownerj,ownerk,ownerl,ownerm,ownern,ownero,ownerp,plac1tra,plac2tra,plac3tra,placcons,placreg,portdep,portret,regarr,regarr2,regdis1,regdis2,regdis3,regem1,regem2,regem3,regisreg,resistance,retrnreg,retrnreg1,rig,saild1,saild2,saild3,saild4,saild5,shipname,sla1port,slaarriv,sladafri,sladamer,sladvoy,slas32,slas36,slas39,slavema1,slavema3,slavemx1,slavemx3,slavmax1,slavmax3,slavmax7,slinten2,slintend,sourcea,sourceb,sourcec,sourced,sourcee,sourcef,sourceg,sourceh,sourcei,sourcej,sourcek,sourcel,sourcem,sourcen,sourceo,sourcep,sourceq,sourcer,tonnage,tontype,tslavesd,tslavesp,voyage,women1,women2,women3,women4,women5,women6,xmimpflag,yearaf,yearam,yeardep,yrcons,yrreg,natinimp,year5,year10,year25,year100,tonmod,fate2,fate3,fate4,ncartot,pctemb,mjbyptimp,slastot,pctdis,mjslptimp,ptdepimp,deptregimp,majbyimp,mjselimp,deptregimp1,majbyimp1,mjselimp1,slaximp,slamimp,vymrtimp,tslmtimp,vymrtrat,adlt1imp,chil1imp,male1imp,feml1imp,chilrat1,malrat1,menrat1,womrat1,boyrat1,girlrat1,adlt3imp,chil3imp,male3imp,feml3imp,chilrat3,malrat3,menrat3,womrat3,boyrat3,girlrat3,slavema7,slavemx7,men7,women7,boy7,girl7,adult7,child7,male7,female7,menrat7,womrat7,boyrat7,girlrat7,malrat7,chilrat7,adlt2imp,chil2imp,male2imp,feml2imp
16558, , , , , , , , , , , , , , , , ,"Adlam, Charles", , , , , , , , ,20400, , , ,25, , , ,15,9,1729, , , , , , ,1,10,1730,24,7,1730, , , , , , ,18,11,1730, , , , ,1, , , , , , , , , , , , ,8, , , , ,60605,21111, , , , , , , , , , , , ,7, , , , , , , ,"Chamberlayne, Thomas*", , , , , , , , , , , , , , , ,60605, , ,20404,20404,10404,10404, , ,21100, , ,60600, , ,20400, ,10400,10000,4, , , , , ,Content,21111,266, , , , , , , , , , , , , , , ,"Richardson,I","Minch,64-5","StJEP,30.11.19-21.", , , , , , , , , , , , , , , ,120,22, , , , , , , , , ,32,1729,1730,1729,1725,1725,7,46,23,10,1700,218.3,1,14,1, , ,60605, , ,21111,10404,10400,60600,21100,10000,60000,20000,320,266, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16594, , , , , , , , , , , , , , , , ,"Dolman, Thomas", , , , , , , , ,10300, , , , , , , , , ,1729, , , , , , , , , , ,9,1730, , , , , , ,25,6,1731, , , , ,1, , , , , , , , , , , , , , , , , ,60605,35199, , , , , , , , , , , , ,7, , , , , , ,1,"Laroche, James*", , , , , , , , , , , , , , , ,60605, , ,10399, ,10404,10404, , ,35100, , ,60600, , , , ,10400,10000, , , , , , ,Union,35199, , , , , , , , , , , , , , , , ,"Richardson,I","RWJ,31.01.16.","DPB,31.01.21.","WR,31.01.16.", , , , , , , , , , , , , , ,200,22, , , , , , , , , ,114,1729,1730,1729, , ,7,46,23,10,1700,305.3,1,14,1, , ,60605, , ,35199,10404,10400,60600,35100,10000,60000,30000,332,269, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16734, , , , , , , , , , , , , , , , ,"Vines, Thomas", , , , , , , , ,80500, ,24, , , , , ,12,1,1732, , ,1732, , , , , , , ,10,1732, , , , , , ,16,4,1733, , , , ,1, , , , , , , , , , , , ,6, , , , ,60605,35199, , , , , , , , , , , , ,7, , , , , , , ,"Heylyn, Edward","Rogers, Robert*", , , , , , , , , , , , , , ,60605, , ,80599, ,10404,10404, , ,35100, , ,60600, , , , ,10400,10000,35, , , , , ,Lively,35199, , , , , , , , , , , , , , , , ,"Richardson,II","StJEP,32.11.18-21.","DPB,33.01.09.","WR,33.01.13.", , , , , , , , , , , , , , ,80,22, , , , , , , , , ,75,1732,1732,1732, , ,7,47,24,10,1700,146.3,1,14,1, , ,60605, , ,35199,10404,10400,60600,35100,10000,60000,30000,238,193, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16820,35199, , , , , , , ,35199, , , , , , , ,"Maddox, John", , , , , , , , ,10300, ,22, , , , , ,4,9,1735, , , , , , , , ,1736,26,5,1736, , , , , , ,1,10,1736, , , , ,1, , , , , , , , , , , , ,6, , , , , ,35199, , , , , , , , , , , , ,7, , , , , , , ,"Penington, Thomas*", , , , , , , , , , , , , , , , , , ,10399, ,10404,10404,35100, ,34200,35100, , , , , , ,10400,10000, , , , , , ,Charming Sally,34299,240, , , , , , , , , , , , , , , ,"Richardson,II","StJEP,36.10.02.-05.", , , , , , , , , , , , , , , , ,80,22, , , , , , , , , ,131,1735,1736,1735, , ,7,48,24,10,1700,146.3,1,14,1, , , , , ,99801,10404,10400, ,99800,10000, ,80000,284,240, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16846, , , , , , , , , , , , , , , , ,"Prothero, Philip", , , , , , , , ,10400, ,25, ,25, , , ,4,4,1736, , , , , , ,26,4,1737,23,10,1736, , , , , , ,20,6,1737, , , , ,1, , , , , , , , , , , , ,2, , , , ,60605,21111, , , , , , , , , , , , ,7, , , , , , , ,"Metton, Humphrey*", , , , , , , , , , , , , , , ,60605, , ,10404,10404,10404,10404, , ,21100, , ,60600, , ,10400, ,10400,10000,35, , , , , ,Ann,21111,310, , , , , , , , , , , , , , , ,"Richardson,II","Minch,89","DG,37.06.23.","BRO, SMV/9/3/3/1,37", , , , , , , , , , , , , , ,90,22, , , , , , , , , ,75,1736,1736,1736,1729,1729,7,48,24,10,1700,164.3,1,14,1, , ,60605, , ,21111,10404,10400,60600,21100,10000,60000,20000,382,310, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16847, , , , , , , , , , , , , , , , ,"Plummer, John", , , , , , , , ,10300, ,19, , , , , ,8,7,1736, , , , , , , , , , , ,1737, , , , , , ,19,10,1737, , , , ,1, , , , , , , , , , , , ,4, , , , ,60999,35199, , , , , , , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , ,60999, , ,10399, ,10404,10404, , ,35100, , ,60900, , , , ,10400,10000, , , , , , ,Benedicta,35199, , , , , , , , , , , , , , , , ,"Richardson,II","GEP,37.10.22.-25.","DG,37.10.22.","DG,37.05.06.", , , , , , , , , , , , , , ,70,22, , , , , , , , , ,131,1736,1737,1736, , ,7,48,24,10,1700,128.3,1,14,1, , ,60999, , ,35199,10404,10400,60900,35100,10000,60000,30000,322,273, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16891, , , , , , , , , , , , , , , , ,"Campbell, Patrick", , , , , , , , ,80500, ,14, , , , , ,27,10,1737, , , , , , , , , , , ,1738, , , , , , ,8,11,1738, , , , ,1, , , , , , , , , , , , ,4, , , , , ,21099, , , , , , , , , , , , ,7, , , , , , , ,"Jacob, Samuel*", , , , , , , , , , , , , , , , , , ,80599, ,10404,10404, , ,21000, , , , , , , ,10400,10000, , , , , , ,Diana,21099, , , , , , , , , , , , , , , , ,"Richardson,II","DP,38.11.11.", , , , , , , , , , , , , , , , ,40,22, , , , , , , , , ,131,1737,1738,1737, , ,7,48,24,10,1700,74.3,1,14,1, , , , , ,21099,10404,10400, ,21000,10000, ,20000,322,273, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16907, , , , , , , , , , , , , , , , ,"Hamley, William", , , , , , , , ,80500, ,25, , , , , ,3,3,1737, , ,1737, , , , , , , , , , , , , , , ,30,9,1738, , , , ,1, , , , , , , , , , , , ,4, , , , ,60711,33599, , , , , , , , , , , , ,7, , , , , , , ,"Laroche, James*", , , , , , , , , , , , , , , ,60711, , ,80599, ,10404,10404, , ,33500, , ,60700, , , , ,10400,10000, , , , , , ,Morning Star,33599, , , , , , , , , , , , , , , , ,"Richardson,II","VG,11Nov,1737","DA,37.10.19.", , , , , , , , , , , , , , , ,120,22, , , , , , , , , ,117,1737,1737,1737, , ,7,48,24,10,1700,218.3,1,14,1, , ,60711, , ,33599,10404,10400,60700,33500,10000,60000,30000,374,342, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16930, , , , , , , , , , , , , , , , ,"Phelps, James", , , , , , , , ,10300, ,28, , , , , ,21,7,1738, , , , , , , , , , , ,1739, , , , , , ,7,9,1739, , , , ,1, , , , , , , , , , , , ,12, , , , ,60725,33599, , , , , , , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , ,60725, , ,10399, ,10404,10404, , ,33500, , ,60700, , , , ,10400,10000, , , , , , ,Betty,33599, , , , , , , , , , , , , , , , ,"Richardson,II","DG,39.05.14.","DG,39.07.12.","DG,39.09.11.", , , , , , , , , , , , , , ,90,22, , , , , , , , , ,117,1738,1739,1738, , ,7,48,24,10,1700,164.3,1,14,1, , ,60725, , ,33599,10404,10400,60700,33500,10000,60000,30000,374,342, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16981, , , , , , , , , , , , , , , , ,"Stockdale, Peregrine", , , , , , , , ,10300, ,30, , , , , ,20,8,1739, , , , , , ,7,1,1741,8,10,1740, , , , , , , , , , , , , ,49, , , , , , , , , , , , ,8, , , , , ,35199, , , , , , , , , , , , ,7, , , , , , ,1,"Saunders, Edmund*","Grant, Abel","Karr, Richard","Laroche, James","Gibbs, Thomas","Fitzherbert, Humphrey", , , , , , , , , , , , , ,10399, ,10404,10404, , ,35100, , , , , , , ,10400,10000, , , , , , ,Berkley,35199, , , , , , , , , , , , , , , , ,"Richardson,II","DG,41.04.09.","DG,40.11.26.", , , , , , , , , , , , , , , ,120,22, , , , , , , , , ,131,1739,1740,1739, , ,7,48,24,10,1700,218.3,1,14,1, , , , , ,35199,10404,10400, ,35100,10000, ,30000,322,273, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17087, , , , , , , , , , , , , , , , ,"Robbins, Thomas", , , , , , , , ,80500, ,28, , , , , ,1,2,1742, , , , , , , , , , , , , , , , , , ,11,7,1743, , , , ,1, , , , , , , , , , , , ,14, , , , , ,35199, , , , , , , , , , , , ,7, , , , , , , ,"Tonge, Henry*", , , , , , , , , , , , , , , , , , ,80599, ,10404,10404, , ,35100, , , , , , , ,10400,10000, , , , , , ,Tryton,35199, , , , , , , , , , , , , , , , ,"Richardson,II", , , , , , , , , , , , , , , , , ,100,22, , , , , , , , , ,131,1742,1742,1742, , ,7,49,25,10,1700,182.3,1,14,1, , , , , ,35199,10404,10400, ,35100,10000, ,30000,322,273, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17096, , , , , , , , , , , , , , , , ,"Cruoly, Charles", , , , , , , , ,80500, ,22, , , , , ,15,7,1743, , , , , , ,17,6,1744, , ,1744, , , , , , ,31,7,1744, , , , ,1, , , , , , , , , , , , ,8, , , , ,60605,33599, , , , , , , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , ,60605, , ,80599, ,10404,10404, , ,33500, , ,60600, , , , ,10400,10000, , , , , , ,Biddy,33599, , , , , , , , , , , , , , , , ,"Richardson,II","DG,44.03.24","DG,44.08.03", , , , , , , , , , , , , , , ,90,22, , , , , , , , , ,114,1743,1744,1743, , ,7,49,25,10,1700,164.3,1,14,1, , ,60605, , ,33599,10404,10400,60600,33500,10000,60000,30000,332,269, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17170, , , , , , , , , , , , , , , , ,"Neal, Shuttleworth", , , , , , , , ,80500, ,30, , , , , ,3,3,1747, , , , , , , , , ,9,10,1747, , , , , , , , , ,60605, ,60600, ,16, , , , , , , , , , , , ,4, , , , ,60605,35114, , , , , , , , , , , , ,7, , , , , , , ,"Meyler, Richard*","Bright, Henry","Wansey, W","Gordon, Will","Power, T","Collett, Jno", , , , , , , , , , ,60605, , ,80599, ,10404, , , ,35100, , ,60600, , , , , , ,35, , , , , ,Bristoll Merchant,35114,269, ,7, , , , , , , , , , , , ,340,"Richardson,III","LList, 29 Mar 1748",BFP7/F7/1,"BFP34/6/3-16, vessel accounts","BFP7/F6/27,F.Bright,47.10.17.& 47.10.25.", , , , , , , , , , , , , ,100,22, ,349, , , , , , , ,75,1747,1747,1747, , ,7,50,25,10,1700,182.3,1,4,3, , ,60605, , ,35114,10404,10400,60600,35100,10000,60000,30000,349,269, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17223, , , , , , , , , , , , , , , , ,"Boucher, Edward", , , , , , , , ,10400, ,30, ,24,17, , ,29,7,1748, , , , , , ,22,5,1750,13,1,1750, , , , , , ,22,7,1750, , , , ,1, , , , , , , , , , , , ,10, , , , ,60499,35199, , , , , , , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , ,60499, , ,10404,10404,10404,10404, , ,35100, , ,60400, , ,10400, ,10400,10000, , , , , , ,Triton,35199, , , , , , , , , , , , , , , ,450,"Richardson,III", , , , , , , , , , , , , , , , , ,120,22, , , , , , , , , ,108,1748,1750,1748,1748,1748,7,50,25,10,1700,218.3,1,14,1, , ,60499, , ,35199,10404,10400,60400,35100,10000,60000,30000,273,241, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17412, , , , , , , , , , , , , , , , ,"Rait, Robert", , , , , , , , ,10300, ,31, ,30,8, , ,2,2,1756, , , , , , ,23,11,1756,19,8,1756, , , , , , ,20,1,1757, , , , ,1, , , , , , , , , , , , ,0, , , , , ,33599, , , , , , , , , , , , ,7, , , , , , , ,"Farr, Thomas*", , , , , , , , , , , , , , , , , , ,10399, ,10404,10404, , ,33500, , , , , , , ,10400,10000, , , , , , ,Marlborough,33599, , , , , , , , , , , , , , , , ,"Richardson,III", , , , , , , , , , , , , , , , , ,80,22, , , , , , , , , ,132,1756,1756,1756, , ,7,52,26,11,1700,146.3,1,14,1, , , , , ,33599,10404,10400, ,33500,10000, ,30000,305,268, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17503, , , , , , , , , , , , , , , , ,"Songster, James", , , , , , , , , , , , , , , , ,28,11,1761, , , , , , , , , , , , , , , , , , , , , , , , , ,50, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7, , , , , , , ,"Bonbonous, James*", , , , , , , , , , , , , , , , , , , , ,10404, , , , , , , , , , , , , , , , , , , ,Dispatch, , , , , , , , , , , , , , , , , ,"Richardson,III", , , , , , , , , , , , , , , , , ,30,22, , , , , , , , , ,132,1761,1761,1761, , ,7,53,27,11,1700,56.3,2,8,3, , , , , , ,10404,10400, , ,10000, , ,305,268, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17595, , , , , , , , , , , , , , , , ,"Thomas, Thomas", , , , , , , , ,80700, ,25, ,10, , , ,28,11,1764, , , , , , ,28,1,1766,7,12,1765, , , , , , ,26,3,1766, , , , ,1, , , , , , , , , , , , ,4, , , , , ,35114, , , , , , , , , , , , ,7, , , , , , , ,"Fowler, John*", , , , , , , , , , , , , , , , , , ,80707,10404,10404,10404, , ,35100, , , , , ,10400, ,10400,10000,4, , , , , ,Lark,35114,113, , , , , , , , , , , , , , , ,"Richardson,III", , , , , , , , , , , , , , , , , ,100,22, , , , , , , , , ,33,1764,1765,1764, ,1764,7,53,27,11,1700,182.3,1,14,1, , , , , ,35114,10404,10400, ,35100,10000, ,30000,138,113, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17664,33499, , , , , , , , , , , , , , , ,"Purnell, John", , , , , , , , ,80500, ,35, ,26,19, , ,19,5,1767, , , , , , ,11,2,1768,19,1,1768, , , , , , ,14,4,1768,60605, ,60600, ,1, , , , , , , , , , , , ,4, , , , ,60622,39002, , , , , , , , , , , , ,7, , , , , , , ,"Fowler, John*", , , , , , , , , , , , , , , ,60622, , ,80599, ,10404,10404, , ,37000,33400, ,60600, , , , ,10400,10000, , , , , , ,Britannia,37010, , , , , , , , , , , , , , , ,400,"Richardson,III","LList, 10 Nov 1767","LList, 8 Mar 1768",BFP22/BI/F4, , , , , , , , , , , , , , ,100,22, , , , , , , , , ,114,1767,1768,1767, , ,7,54,27,11,1700,182.3,1,14,1, , ,60622, , ,99801,10404,10400,60600,99800,10000,60000,80000,332,269, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17772, , , , , , , , ,21199, , , , , , , ,"Broad, Richard", , , , , , , , ,80700, ,26, ,13,5,11, ,29,10,1771, , , , , , ,21,10,1772, , ,1772, , , , , , ,22,12,1772, , , , ,1, , , , , , , , , , , , ,6, , , , , ,33599, , , , , , , , , , , , ,7, , , , , , , , , , , , , , , , , , , , , , , , , , ,80703, ,10404,10404,21100, ,33500, , , , , , , ,10400,10000, , , , , , ,Betsey,33599, , , , , , , , , , , , , , , , ,"Richardson,IV", , , , , , , , , , , , , , , , , ,120,22, , , , , , , , , ,132,1771,1772,1771, , ,7,55,28,11,1700,218.3,1,14,1, , , , , ,33599,10404,10400, ,33500,10000, ,30000,305,268, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17835, , , , , , , , ,21399, , , , , , , ,"Willis, James", , , , , , , , ,80700, ,21, ,18,11,11, ,7,12,1773, , , , , , ,22,9,1774,29,8,1774, , , , , , ,30,12,1774, , , , ,1, , , , , , , , , , , , ,4, , , , ,60108,21399, , , , , , , , , , , , ,7, , , , , , , ,"Fowler, John*", , , , , , , , , , , , , , , ,60108, , ,80703, ,10404,10404,21300, ,21300, , ,60100, , , , ,10400,10000, , , , , , ,Gambia,21399,86, , , , , , , , , , , , , , , ,"Richardson,IV", , , , , , , , , , , , , , , , , ,71,22, , , , , , , , , ,102,1773,1774,1773, , ,7,55,28,11,1700,130.1,1,14,1, , ,60108, , ,21399,10404,10400,60100,21300,10000,60000,20000,96,86, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17878, , , , , , , , ,35199, , , , , , , ,"Smith, John","Roach, John", , , , , , , ,10100, ,23,25,13,11, , ,4,9,1775, ,4,1776, , , ,1,4,1777,14,12,1776, , , , , , ,5,6,1777, , , , ,1, , , , , , , , , , , , ,6, , , , ,60408,35199, , , , , , , , , , , , ,7, , , , , , ,1,"Powell, John",Powell (Son)*, , , , , , , , , , , , , , ,60408, , ,10199, ,10404,10404,35100, ,35100, , ,60400, , , , ,10400,10000,35, , , , , ,Martha,35199, , , , , , , , , , , , , , , , ,"Richardson,IV","Donnan,III,320","LList, 4 Feb 1777","T70/32,p.35", , , , , , , , , , , , , , ,80,22, , , , , , , , , ,77,1776,1776,1775,1761, ,7,56,28,12,1700,146.3,1,14,1, , ,60408, , ,35199,10404,10400,60400,35100,10000,60000,30000,216,186, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17897, , , , , , , , , , , , , , , , ,"Robe, Archibald", , , , , , , , ,10400, ,51, ,50,21,21, ,2,2,1778,5,4,1778,17,7,1778,13,3,1779,8,10,1778, , , , , , ,28,5,1779, , , , ,1, , , , , , , , , , , , ,14, , , , ,60412,35199, , , , , , , , , , , , ,7, , , , , , ,1,"Hamilton, David*", , , , , , , , , , , , , , , ,60412, , ,10404, ,10404,10404, , ,35100, , ,60400, , , , ,10400,10000,4, , , , , ,Constantine,35199,391, , , , , , , , , , , , , , , ,"Richardson,IV", , , , , , , , , , , , , , , , , ,160,22,430, , , , , , , , ,34,1778,1778,1778,1748, ,7,56,28,12,1700,257.3,1,14,1, , ,60412, , ,35199,10404,10400,60400,35100,10000,60000,30000,430,391,39,430,.0906976744186047, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17913, , , , , , , , , , , , , , , , ,"Fraser, James", , , , , , , , ,10400, ,40, , , , , ,12,3,1782, , , , , , , , , , , , , , , , , , , , , , , , , ,50, , , , , , , , , , , , ,20, , , , , , , , , , , , , , , , , , ,7, , , , , , , ,"Anderson, John*", , , , , , , , , , , , , , , , , , ,10404, ,10404, , , , , , , , , , , , , ,1, , , , , ,Tartar, , , , , , , , , , , , , , , , , ,"Richardson,IV", , , , , , , , , , , , , , , , , ,160,22, , , , , , , , , ,18,1782,1782,1782,1778, ,7,57,29,12,1700,257.3,2,8,3, , , , , , ,10404,10400, , ,10000, , ,204,184, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18071, , , , , , , , ,35199, , , , , , , ,"Fraser, James", , , , , , , , ,10300, ,40, ,37,33,33, ,9,5,1790, , , , , , ,12,4,1791,2,1,1791, , , , , , ,28,6,1791, , , , ,1, , , , , , , , , , , , ,6, , , , ,60605,35199, , , , , , , , , , , , ,7, , , , , , , ,"Anderson, John*","Deane, Thomas","Rigge, Thomas","Harvey, James", , , , , , , , , , , , ,60605, , ,10399, ,10404,10404,35100, ,35100, , ,60600, , , , ,10400,10000,4, , , , , ,Hector,35199,700, , , , , , , , , , , , , , , ,"Richardson,IV", , , , , , , , , , , , , , , , , ,540,13, , , , , , , , , ,34,1790,1791,1790, , ,7,59,30,12,1700,540,1,14,1, , ,60605, , ,35199,10404,10400,60600,35100,10000,60000,30000,766,700, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18097, , , , , , , , , , , , , , , , ,"Engledue, William", , , , , , , , ,80700, ,35, , , , , ,2,4,1791, , , , , , , , , , , , , , , , , , , , , ,60605, ,60600, ,2, , , , , , , , , , , , ,6, , , , , , , , , , , , , , , , , , ,7, , , , , , , ,"Jones, Thomas*","Harford, Charles","Rigge, Thomas", , , , , , , , , , , , , , , , ,80704, ,10404, , , , , , , , , , , , , ,4, , , , , ,Eliza, , , , , , , , , , , , , , , , , ,"Richardson,IV", , , , , , , , , , , , , , , , , ,192,13, , , , , , , , , ,34,1791,1791,1791,1783, ,7,59,30,12,1700,192,2,1,2, , ,60605, , , ,10404,10400,60600, ,10000,60000, ,356,326, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18116, , , , , , , , ,35199, , , , , , , ,"Neilson, J", , , , , , , , ,10400, ,25, , , , , ,25,6,1791,6,9,1791, , , , , , , , , , , , , , , , , , ,60299, ,60200, ,70, , , , , , , , , , , , ,4, , , , ,60299,33299, , , , , , , , , , , , ,7, , , , , ,1, ,"Rogers, James*","Laroche, James (Sir)","Fydell, Richard","Walker, Thomas", , , , , , , , , , , , ,60220, , ,10432, ,10404, ,35100, ,33200, , ,60200, , , , , , ,4, , , , , ,Recovery,33299, , , , , , , , , , , , , , , , ,"Richardson,IV","C107/5,unmarked bundle","GLGA,1792.11.19.", , , , , , , , , , , , , , , ,137,13, , , , , , , , , ,34,1791,1791,1791,1781,1787,7,59,30,12,1700,137,1,14,4, , ,60220, , ,33299,10404,10400,60200,33200,10000,60000,30000,356,326, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18158, , ,0, ,0,0,0,0, , ,7, ,10,0,0,0,"Crooker, Thomas", , ,0, ,0,0,0,0,10400, ,32, ,30,30,30, ,14,6,1792,5,8,1792,15,9,1792,28,11,1792,12,11,1792, , , , , , ,8,1,1793, , , , ,1, , , , , , ,10, ,8,0,0,0,4,0,0,0, ,60605,34499, , , , , , ,249, ,232,0,0,0,7, , , , , , , ,"Anderson, John*","Deane, Thomas","Harvey, James","Rigge, Thomas", , , , , , , , , , , , ,60605, , ,10404, ,10404,10404, , ,34400, , ,60600, , , , ,10400,10000,4, , , , , ,Pilgrim,34499,392, , , , , , ,412,391,412,391,412,391,391, ,413,"Richardson,IV", , , , , , , , , , , , , , , , , ,279,13,412, , ,146, ,141,0,0,0,34,1792,1792,1792,1779, ,7,59,30,12,1700,279,1,14,1, , ,60605, , ,34499,10404,10400,60600,34400,10000,60000,30000,412,392,20,412,.0485436893203883,395,17,256,156,.0412621359223301,.621359223300971,.604368932038835,.354368932038835,.0169902912621359,.0242718446601942,373,18,242,149,.0460358056265985,.618925831202046,.593350383631714,.360613810741688,.0255754475703325,.020460358056266,391,391,232,141,10,8,373,18,242,149,.593350383631714,.360613810741688,.0255754475703325,.020460358056266,.618925831202046,.0460358056265985, , , , 
18270, , , , , , , , , , , , , , , , ,"Ham, Samuel", , , , , , , , , , , , , , , , ,30,9,1805, , , ,8,2,1806,13,6,1806,26,3,1806, , , , , , ,6,10,1806, , , , ,1, , , , , , , , , , , , , , , , , ,60717,42002, , , , , , , , , , , , ,7, , , , , , , ,"Wilson, T*","Masey, J W","Inman, W","Harford, Daniel*", , , , , , , , , , , , ,60717, , , , ,10404,10433, , ,42000, , ,60700, , , , ,10400,10000,4, , , , , ,General Davie (a) David,42002,203, , , , , , , , , , , , , , , ,"Richardson,IV",Studer, , , , , , , , , , , , , , , , , , ,203, , , , , , , , ,35,1806,1806,1805, , ,7,62,31,13,1800, ,1,14,1, , ,60717, , ,42002,10404,10400,60700,42000,10000,60000,40000,203,203,0,203,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19031, , , , ,0, , ,0,50422, , , ,0, , ,0,"Couto, Antônio Xavier do","Lisboa, João dos Santos", , , ,12, , ,0, , , , , , , , ,2,12,1795, , , ,15,8,1796, , , ,6,9,1796, , , , , , , , , ,60707, ,60700, ,1, , , , , , , , ,0, , ,0, , ,0, , ,60707,50422, , , , , , , , ,0, , ,0,4, , , , , , , , , , , , , , , , , , , , , , , ,60707, , , , ,50422, ,50400, ,50400, , ,60700, , , , , , ,3, , , , , ,NS do Monte do Carmo e Boa Fortuna,50422,347, ,4,140, , , , , , , , , , , , ,"ANRJ, cod. 242, p.16","AHNA, Códice E-19-5 (Benguela)","ANRJ,cod156","AHNA, Códice C-9-3", , , , , , , , , , , , , , , , ,491, , , , ,0, , ,0,29,1796,1796,1795, , ,6,60,30,12,1700, ,1,14,1, , ,60707, , ,50422,50422,50400,60700,50400,50000,60000,50000,491,347,140,491,.285132382892057, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
